key,state,cum_confirmed,cum_Deaths,date,State,positive,death,hospitalized,total,recovered,positiveIncrease,deathIncrease,hospitalizedIncrease,totalTestResultsIncrease,flag,daily_confirmed,daily_Deaths
20200818 Alabama,Alabama,110361,1936,2020-08-18,Alabama,110361,1936,12958,868259,41523,1357,11,0,15336,,,
20200817 Alabama,Alabama,109004,1925,2020-08-17,Alabama,109004,1925,12958,852923,41523,571,27,351,6499,1,1357,11
20200816 Alabama,Alabama,108433,1898,2020-08-16,Alabama,108433,1898,12607,846424,41523,853,2,0,9407,1,571,27
20200815 Alabama,Alabama,107580,1896,2020-08-15,Alabama,107580,1896,12607,837017,41523,1271,3,151,12033,1,853,2
20200814 Alabama,Alabama,106309,1893,2020-08-14,Alabama,106309,1893,12456,824984,41523,752,3,0,22422,1,1271,3
20200813 Alabama,Alabama,105557,1890,2020-08-13,Alabama,105557,1890,12456,802562,41523,771,8,164,6791,1,752,3
20200812 Alabama,Alabama,104786,1882,2020-08-12,Alabama,104786,1882,12292,795771,41523,935,35,222,12082,1,771,8
20200811 Alabama,Alabama,103851,1847,2020-08-11,Alabama,103851,1847,12070,783689,37923,831,50,0,3122,1,935,35
20200810 Alabama,Alabama,103020,1797,2020-08-10,Alabama,103020,1797,12070,780567,37923,1686,29,533,18116,1,831,50
20200809 Alabama,Alabama,101334,1768,2020-08-09,Alabama,101334,1768,11537,762451,37923,2947,33,0,12949,1,1686,29
20200808 Alabama,Alabama,98387,1735,2020-08-08,Alabama,98387,1735,11537,749502,37923,86,0,0,86,1,2947,33
20200807 Alabama,Alabama,98301,1735,2020-08-07,Alabama,98301,1735,11537,749416,37923,1709,21,224,9632,1,86,0
20200806 Alabama,Alabama,96592,1714,2020-08-06,Alabama,96592,1714,11313,739784,37923,1938,19,213,12324,1,1709,21
20200805 Alabama,Alabama,94654,1695,2020-08-05,Alabama,94654,1695,11100,727460,37923,952,29,0,5159,1,1938,19
20200804 Alabama,Alabama,93702,1666,2020-08-04,Alabama,93702,1666,11100,722301,35401,1041,33,235,8250,1,952,29
20200803 Alabama,Alabama,92661,1633,2020-08-03,Alabama,92661,1633,10865,714051,35401,1217,6,344,7981,1,1041,33
20200802 Alabama,Alabama,91444,1627,2020-08-02,Alabama,91444,1627,10521,706070,35401,2095,24,0,8699,1,1217,6
20200801 Alabama,Alabama,89349,1603,2020-08-01,Alabama,89349,1603,10521,697371,35401,1626,23,0,7904,1,2095,24
20200731 Alabama,Alabama,87723,1580,2020-07-31,Alabama,87723,1580,10521,689467,35401,1961,15,451,9359,1,1626,23
20200730 Alabama,Alabama,85762,1565,2020-07-30,Alabama,85762,1565,10070,680108,35401,1980,27,177,11833,1,1961,15
20200729 Alabama,Alabama,83782,1538,2020-07-29,Alabama,83782,1538,9893,668275,32510,1416,47,0,2876,1,1980,27
20200728 Alabama,Alabama,82366,1491,2020-07-28,Alabama,82366,1491,9893,665399,32510,1251,0,199,7440,1,1416,47
20200727 Alabama,Alabama,81115,1491,2020-07-27,Alabama,81115,1491,9694,657959,32510,1821,18,537,8273,1,1251,0
20200726 Alabama,Alabama,79294,1473,2020-07-26,Alabama,79294,1473,9157,649686,32510,1164,17,0,8075,1,1821,18
20200725 Alabama,Alabama,78130,1456,2020-07-25,Alabama,78130,1456,9157,641611,32510,2125,18,0,12627,1,1164,17
20200724 Alabama,Alabama,76005,1438,2020-07-24,Alabama,76005,1438,9157,628984,32510,1793,41,162,9457,1,2125,18
20200723 Alabama,Alabama,74212,1397,2020-07-23,Alabama,74212,1397,8995,619527,32510,2399,33,457,10039,1,1793,41
20200722 Alabama,Alabama,71813,1364,2020-07-22,Alabama,71813,1364,8538,609488,29736,1455,61,0,9107,1,2399,33
20200721 Alabama,Alabama,70358,1303,2020-07-21,Alabama,70358,1303,8538,600381,29736,1467,12,170,6593,1,1455,61
20200720 Alabama,Alabama,68891,1291,2020-07-20,Alabama,68891,1291,8368,593788,29736,1880,4,586,8255,1,1467,12
20200719 Alabama,Alabama,67011,1287,2020-07-19,Alabama,67011,1287,7782,585533,29736,1777,1,0,11038,1,1880,4
20200718 Alabama,Alabama,65234,1286,2020-07-18,Alabama,65234,1286,7782,574495,29736,2143,21,198,11380,1,1777,1
20200717 Alabama,Alabama,63091,1265,2020-07-17,Alabama,63091,1265,7584,563115,29736,2003,35,0,12006,1,2143,21
20200716 Alabama,Alabama,61088,1230,2020-07-16,Alabama,61088,1230,7584,551109,29736,2021,19,293,10060,1,2003,35
20200715 Alabama,Alabama,59067,1211,2020-07-15,Alabama,59067,1211,7291,541049,29736,1812,47,168,11960,1,2021,19
20200714 Alabama,Alabama,57255,1164,2020-07-14,Alabama,57255,1164,7123,529089,25783,1710,40,378,9485,1,1812,47
20200713 Alabama,Alabama,55545,1124,2020-07-13,Alabama,55545,1124,6745,519604,25783,1958,3,0,8098,1,1710,40
20200712 Alabama,Alabama,53587,1121,2020-07-12,Alabama,53587,1121,6745,511506,25783,1640,7,0,9486,1,1958,3
20200711 Alabama,Alabama,51947,1114,2020-07-11,Alabama,51947,1114,6745,502020,25783,1439,10,3656,9804,1,1640,7
20200710 Alabama,Alabama,50508,1104,2020-07-10,Alabama,50508,1104,3089,492216,25783,1334,36,50,21712,1,1439,10
20200709 Alabama,Alabama,49174,1068,2020-07-09,Alabama,49174,1068,3039,470504,25783,2212,10,33,2212,1,1334,36
20200708 Alabama,Alabama,46962,1058,2020-07-08,Alabama,46962,1058,3006,468292,22082,1177,25,45,6928,1,2212,10
20200707 Alabama,Alabama,45785,1033,2020-07-07,Alabama,45785,1033,2961,461364,22082,907,26,47,6269,1,1177,25
20200706 Alabama,Alabama,44878,1007,2020-07-06,Alabama,44878,1007,2914,455095,22082,925,0,5,5209,1,907,26
20200705 Alabama,Alabama,43953,1007,2020-07-05,Alabama,43953,1007,2909,449886,22082,1091,0,3,7798,1,925,0
20200704 Alabama,Alabama,42862,1007,2020-07-04,Alabama,42862,1007,2906,442088,22082,997,1,23,11457,1,1091,0
20200703 Alabama,Alabama,41865,1006,2020-07-03,Alabama,41865,1006,2883,430631,22082,1754,21,48,10903,1,997,1
20200702 Alabama,Alabama,40111,985,2020-07-02,Alabama,40111,985,2835,419728,22082,1149,13,32,5775,1,1754,21
20200701 Alabama,Alabama,38962,972,2020-07-01,Alabama,38962,972,2803,413953,18866,917,22,34,7301,1,1149,13
20200630 Alabama,Alabama,38045,950,2020-06-30,Alabama,38045,950,2769,406652,18866,870,21,44,13359,1,917,22
20200629 Alabama,Alabama,37175,929,2020-06-29,Alabama,37175,929,2725,393293,18866,1734,10,22,7013,1,870,21
20200628 Alabama,Alabama,35441,919,2020-06-28,Alabama,35441,919,2703,386280,18866,358,0,6,2254,1,1734,10
20200627 Alabama,Alabama,35083,919,2020-06-27,Alabama,35083,919,2697,384026,18866,900,12,44,5703,1,358,0
20200626 Alabama,Alabama,34183,907,2020-06-26,Alabama,34183,907,2653,378323,18866,977,11,41,8865,1,900,12
20200625 Alabama,Alabama,33206,896,2020-06-25,Alabama,33206,896,2612,369458,18866,1142,5,45,10699,1,977,11
20200624 Alabama,Alabama,32064,891,2020-06-24,Alabama,32064,891,2567,358759,18866,967,27,46,4721,1,1142,5
20200623 Alabama,Alabama,31097,864,2020-06-23,Alabama,31097,864,2521,354038,15974,643,23,50,4928,1,967,27
20200622 Alabama,Alabama,30454,841,2020-06-22,Alabama,30454,841,2471,349110,15974,433,2,11,4432,1,643,23
20200621 Alabama,Alabama,30021,839,2020-06-21,Alabama,30021,839,2460,344678,15974,472,1,17,5155,1,433,2
20200620 Alabama,Alabama,29549,838,2020-06-20,Alabama,29549,838,2443,339523,15974,547,16,27,8198,1,472,1
20200619 Alabama,Alabama,29002,822,2020-06-19,Alabama,29002,822,2416,331325,15974,796,12,43,8791,1,547,16
20200618 Alabama,Alabama,28206,810,2020-06-18,Alabama,28206,810,2373,322534,15974,894,20,21,11811,1,796,12
20200617 Alabama,Alabama,27312,790,2020-06-17,Alabama,27312,790,2352,310723,15974,400,5,37,5299,1,894,20
20200616 Alabama,Alabama,26912,785,2020-06-16,Alabama,26912,785,2315,305424,13508,640,11,56,2750,1,400,5
20200615 Alabama,Alabama,26272,774,2020-06-15,Alabama,26272,774,2259,302674,13508,657,1,4,5219,1,640,11
20200614 Alabama,Alabama,25615,773,2020-06-14,Alabama,25615,773,2255,297455,13508,1014,0,14,4203,1,657,1
20200613 Alabama,Alabama,24601,773,2020-06-13,Alabama,24601,773,2241,293252,13508,891,4,39,6867,1,1014,0
20200612 Alabama,Alabama,23710,769,2020-06-12,Alabama,23710,769,2202,286385,13508,865,14,37,7559,1,891,4
20200611 Alabama,Alabama,22845,755,2020-06-11,Alabama,22845,755,2165,278826,13508,856,11,36,5769,1,865,14
20200610 Alabama,Alabama,21989,744,2020-06-10,Alabama,21989,744,2129,273057,13508,567,15,42,5318,1,856,11
20200609 Alabama,Alabama,21422,729,2020-06-09,Alabama,21422,729,2087,267739,11395,497,11,33,7748,1,567,15
20200608 Alabama,Alabama,20925,718,2020-06-08,Alabama,20925,718,2054,259991,11395,425,26,32,425,1,497,11
20200607 Alabama,Alabama,20500,692,2020-06-07,Alabama,20500,692,2022,259566,11395,457,3,29,13922,1,425,26
20200606 Alabama,Alabama,20043,689,2020-06-06,Alabama,20043,689,1993,245644,11395,656,13,44,6171,1,457,3
20200605 Alabama,Alabama,19387,676,2020-06-05,Alabama,19387,676,1949,239473,11395,315,23,20,4174,1,656,13
20200604 Alabama,Alabama,19072,653,2020-06-04,Alabama,19072,653,1929,235299,11395,221,0,29,3705,1,315,23
20200603 Alabama,Alabama,18851,653,2020-06-03,Alabama,18851,653,1900,231594,11395,209,2,21,7792,1,221,0
20200602 Alabama,Alabama,18642,651,2020-06-02,Alabama,18642,651,1879,223802,9355,279,5,23,279,1,209,2
20200601 Alabama,Alabama,18363,646,2020-06-01,Alabama,18363,646,1856,223523,9355,460,15,12,5970,1,279,5
20200531 Alabama,Alabama,17903,631,2020-05-31,Alabama,17903,631,1844,217553,9355,544,13,18,5352,1,460,15
20200530 Alabama,Alabama,17359,618,2020-05-30,Alabama,17359,618,1826,212201,9355,536,13,26,3318,1,544,13
20200529 Alabama,Alabama,16823,605,2020-05-29,Alabama,16823,605,1800,208883,9355,513,15,35,8402,1,536,13
20200528 Alabama,Alabama,16310,590,2020-05-28,Alabama,16310,590,1765,200481,9355,467,9,46,4687,1,513,15
20200527 Alabama,Alabama,15843,581,2020-05-27,Alabama,15843,581,1719,195794,7951,447,6,48,2035,1,467,9
20200526 Alabama,Alabama,15396,575,2020-05-26,Alabama,15396,575,1671,193759,7951,666,13,42,3444,1,447,6
20200525 Alabama,Alabama,14730,562,2020-05-25,Alabama,14730,562,1629,190315,7951,403,11,17,4516,1,666,13
20200524 Alabama,Alabama,14327,551,2020-05-24,Alabama,14327,551,1612,185799,7951,389,5,23,3123,1,403,11
20200523 Alabama,Alabama,13938,546,2020-05-23,Alabama,13938,546,1589,182676,7951,375,9,28,4908,1,389,5
20200522 Alabama,Alabama,13563,537,2020-05-22,Alabama,13563,537,1561,177768,7951,444,8,33,7029,1,375,9
20200521 Alabama,Alabama,13119,529,2020-05-21,Alabama,13119,529,1528,170739,NA,375,12,35,6289,1,444,8
20200520 Alabama,Alabama,12744,517,2020-05-20,Alabama,12744,517,1493,164450,NA,368,13,40,6884,1,375,12
20200519 Alabama,Alabama,12376,504,2020-05-19,Alabama,12376,504,1453,157566,NA,290,15,37,443,1,368,13
20200518 Alabama,Alabama,12086,489,2020-05-18,Alabama,12086,489,1416,157123,NA,315,1,24,773,1,290,15
20200818 Alaska,Alaska,5177,29,2020-08-18,Alaska,5177,29,NA,310009,1468,67,1,0,4361,,,
20200817 Alaska,Alaska,5110,28,2020-08-17,Alaska,5110,28,NA,305648,1432,50,0,0,4133,1,67,1
20200816 Alaska,Alaska,5060,28,2020-08-16,Alaska,5060,28,NA,301515,1418,106,0,0,4838,1,50,0
20200815 Alaska,Alaska,4954,28,2020-08-15,Alaska,4954,28,NA,296677,1384,85,1,0,748,1,106,0
20200814 Alaska,Alaska,4869,27,2020-08-14,Alaska,4869,27,NA,295929,1371,119,0,0,1876,1,85,1
20200813 Alaska,Alaska,4750,27,2020-08-13,Alaska,4750,27,NA,294053,1360,95,0,0,1471,1,119,0
20200812 Alaska,Alaska,4655,27,2020-08-12,Alaska,4655,27,NA,292582,1359,66,1,0,1838,1,95,0
20200811 Alaska,Alaska,4589,26,2020-08-11,Alaska,4589,26,NA,290744,1344,50,0,0,10401,1,66,1
20200810 Alaska,Alaska,4539,26,2020-08-10,Alaska,4539,26,NA,280343,1332,66,0,0,2424,1,50,0
20200809 Alaska,Alaska,4473,26,2020-08-09,Alaska,4473,26,NA,277919,1269,100,0,0,4326,1,66,0
20200808 Alaska,Alaska,4373,26,2020-08-08,Alaska,4373,26,NA,273593,1254,85,1,0,4742,1,100,0
20200807 Alaska,Alaska,4288,25,2020-08-07,Alaska,4288,25,NA,268851,1238,65,0,0,7279,1,85,1
20200806 Alaska,Alaska,4223,25,2020-08-06,Alaska,4223,25,NA,261572,1220,40,0,0,4293,1,65,0
20200805 Alaska,Alaska,4183,25,2020-08-05,Alaska,4183,25,NA,257279,1017,58,0,0,4630,1,40,0
20200804 Alaska,Alaska,4125,25,2020-08-04,Alaska,4125,25,NA,252649,987,61,0,0,6842,1,58,0
20200803 Alaska,Alaska,4064,25,2020-08-03,Alaska,4064,25,NA,245807,946,80,1,0,2717,1,61,0
20200802 Alaska,Alaska,3984,24,2020-08-02,Alaska,3984,24,NA,243090,932,157,0,0,4457,1,80,1
20200801 Alaska,Alaska,3827,24,2020-08-01,Alaska,3827,24,NA,238633,930,150,1,0,5527,1,157,0
20200731 Alaska,Alaska,3677,23,2020-07-31,Alaska,3677,23,NA,233106,898,118,0,0,8049,1,150,1
20200730 Alaska,Alaska,3559,23,2020-07-30,Alaska,3559,23,NA,225057,885,117,1,0,1393,1,118,0
20200729 Alaska,Alaska,3442,22,2020-07-29,Alaska,3442,22,NA,223664,854,92,0,0,9789,1,117,1
20200728 Alaska,Alaska,3350,22,2020-07-28,Alaska,3350,22,NA,213875,836,144,1,0,6507,1,92,0
20200727 Alaska,Alaska,3206,21,2020-07-27,Alaska,3206,21,NA,207368,817,104,1,0,104,1,144,1
20200726 Alaska,Alaska,3102,20,2020-07-26,Alaska,3102,20,NA,207264,817,234,0,0,2198,1,104,1
20200725 Alaska,Alaska,2868,20,2020-07-25,Alaska,2868,20,NA,205066,815,120,1,0,4494,1,234,0
20200724 Alaska,Alaska,2748,19,2020-07-24,Alaska,2748,19,NA,200572,800,64,0,0,11063,1,120,1
20200723 Alaska,Alaska,2684,19,2020-07-23,Alaska,2684,19,NA,189509,787,65,0,0,4176,1,64,0
20200722 Alaska,Alaska,2619,19,2020-07-22,Alaska,2619,19,NA,185333,753,94,1,0,6707,1,65,0
20200721 Alaska,Alaska,2525,18,2020-07-21,Alaska,2525,18,NA,178626,737,111,0,0,3040,1,94,1
20200720 Alaska,Alaska,2414,18,2020-07-20,Alaska,2414,18,NA,175586,712,137,0,0,2576,1,111,0
20200719 Alaska,Alaska,2277,18,2020-07-19,Alaska,2277,18,NA,173010,712,118,0,0,4647,1,137,0
20200718 Alaska,Alaska,2159,18,2020-07-18,Alaska,2159,18,NA,168363,708,78,1,0,2949,1,118,0
20200717 Alaska,Alaska,2081,17,2020-07-17,Alaska,2081,17,NA,165414,697,49,0,0,2392,1,78,1
20200716 Alaska,Alaska,2032,17,2020-07-16,Alaska,2032,17,NA,163022,688,401,0,0,6929,1,49,0
20200715 Alaska,Alaska,1631,17,2020-07-15,Alaska,1631,17,NA,156093,669,52,0,0,6620,1,401,0
20200714 Alaska,Alaska,1579,17,2020-07-14,Alaska,1579,17,NA,149473,642,40,0,0,2883,1,52,0
20200713 Alaska,Alaska,1539,17,2020-07-13,Alaska,1539,17,NA,146590,620,60,0,0,1115,1,40,0
20200712 Alaska,Alaska,1479,17,2020-07-12,Alaska,1479,17,NA,145475,615,94,0,0,2099,1,60,0
20200711 Alaska,Alaska,1385,17,2020-07-11,Alaska,1385,17,NA,143376,598,62,0,0,1445,1,94,0
20200710 Alaska,Alaska,1323,17,2020-07-10,Alaska,1323,17,NA,141931,588,51,0,0,6187,1,62,0
20200709 Alaska,Alaska,1272,17,2020-07-09,Alaska,1272,17,NA,135744,571,46,0,0,2343,1,51,0
20200708 Alaska,Alaska,1226,17,2020-07-08,Alaska,1226,17,NA,133401,563,42,0,0,1981,1,46,0
20200707 Alaska,Alaska,1184,17,2020-07-07,Alaska,1184,17,NA,131420,560,46,1,0,7667,1,42,0
20200706 Alaska,Alaska,1138,16,2020-07-06,Alaska,1138,16,NA,123753,548,0,0,0,0,1,46,1
20200705 Alaska,Alaska,1138,16,2020-07-05,Alaska,1138,16,NA,123753,548,27,0,0,1021,1,0,0
20200704 Alaska,Alaska,1111,16,2020-07-04,Alaska,1111,16,NA,122732,544,48,1,0,2524,1,27,0
20200703 Alaska,Alaska,1063,15,2020-07-03,Alaska,1063,15,NA,120208,539,46,1,0,4299,1,48,1
20200702 Alaska,Alaska,1017,14,2020-07-02,Alaska,1017,14,NA,115909,535,39,0,0,1509,1,46,1
20200701 Alaska,Alaska,978,14,2020-07-01,Alaska,978,14,NA,114400,528,38,0,0,2215,1,39,0
20200630 Alaska,Alaska,940,14,2020-06-30,Alaska,940,14,NA,112185,526,36,0,0,3476,1,38,0
20200629 Alaska,Alaska,904,14,2020-06-29,Alaska,904,14,NA,108709,525,21,0,0,409,1,36,0
20200628 Alaska,Alaska,883,14,2020-06-28,Alaska,883,14,NA,108300,521,29,0,0,2719,1,21,0
20200627 Alaska,Alaska,854,14,2020-06-27,Alaska,854,14,NA,105581,521,18,0,0,3789,1,29,0
20200626 Alaska,Alaska,836,14,2020-06-26,Alaska,836,14,NA,101792,519,20,2,0,2340,1,18,0
20200625 Alaska,Alaska,816,12,2020-06-25,Alaska,816,12,NA,99452,513,24,0,0,3356,1,20,2
20200624 Alaska,Alaska,792,12,2020-06-24,Alaska,792,12,NA,96096,507,14,0,0,3149,1,24,0
20200623 Alaska,Alaska,778,12,2020-06-23,Alaska,778,12,NA,92947,502,17,0,0,2123,1,14,0
20200622 Alaska,Alaska,761,12,2020-06-22,Alaska,761,12,NA,90824,491,6,0,0,2773,1,17,0
20200621 Alaska,Alaska,755,12,2020-06-21,Alaska,755,12,NA,88051,475,12,0,0,1133,1,6,0
20200620 Alaska,Alaska,743,12,2020-06-20,Alaska,743,12,NA,86918,464,21,0,0,3287,1,12,0
20200619 Alaska,Alaska,722,12,2020-06-19,Alaska,722,12,NA,83631,457,14,0,0,2446,1,21,0
20200618 Alaska,Alaska,708,12,2020-06-18,Alaska,708,12,NA,81185,449,12,0,0,3476,1,14,0
20200617 Alaska,Alaska,696,12,2020-06-17,Alaska,696,12,NA,77709,438,20,0,0,1494,1,12,0
20200616 Alaska,Alaska,676,12,2020-06-16,Alaska,676,12,NA,76215,429,12,0,0,1778,1,20,0
20200615 Alaska,Alaska,664,12,2020-06-15,Alaska,664,12,NA,74437,417,3,0,0,970,1,12,0
20200614 Alaska,Alaska,661,12,2020-06-14,Alaska,661,12,NA,73467,411,7,0,0,1664,1,3,0
20200613 Alaska,Alaska,654,12,2020-06-13,Alaska,654,12,NA,71803,405,29,0,0,923,1,7,0
20200612 Alaska,Alaska,625,12,2020-06-12,Alaska,625,12,NA,70880,403,14,1,0,1869,1,29,0
20200611 Alaska,Alaska,611,11,2020-06-11,Alaska,611,11,NA,69011,397,18,0,0,1291,1,14,1
20200610 Alaska,Alaska,593,11,2020-06-10,Alaska,593,11,NA,67720,392,20,0,0,830,1,18,0
20200609 Alaska,Alaska,573,11,2020-06-09,Alaska,573,11,NA,66890,389,10,1,0,978,1,20,0
20200608 Alaska,Alaska,563,10,2020-06-08,Alaska,563,10,NA,65912,384,19,0,0,1008,1,10,1
20200607 Alaska,Alaska,544,10,2020-06-07,Alaska,544,10,NA,64904,382,8,0,-48,1003,1,19,0
20200606 Alaska,Alaska,536,10,2020-06-06,Alaska,536,10,48,63901,382,12,0,48,2911,1,8,0
20200605 Alaska,Alaska,524,10,2020-06-05,Alaska,524,10,NA,60990,380,11,0,0,893,1,12,0
20200604 Alaska,Alaska,513,10,2020-06-04,Alaska,513,10,NA,60097,376,8,0,0,1915,1,11,0
20200603 Alaska,Alaska,505,10,2020-06-03,Alaska,505,10,NA,58182,373,18,0,0,1979,1,8,0
20200602 Alaska,Alaska,487,10,2020-06-02,Alaska,487,10,NA,56203,371,20,0,0,2013,1,18,0
20200601 Alaska,Alaska,467,10,2020-06-01,Alaska,467,10,NA,54190,368,33,0,0,2495,1,20,0
20200531 Alaska,Alaska,434,10,2020-05-31,Alaska,434,10,NA,51695,368,0,0,0,0,1,33,0
20200530 Alaska,Alaska,434,10,2020-05-30,Alaska,434,10,NA,51695,368,4,0,0,2256,1,0,0
20200529 Alaska,Alaska,430,10,2020-05-29,Alaska,430,10,NA,49439,367,5,0,0,1469,1,4,0
20200528 Alaska,Alaska,425,10,2020-05-28,Alaska,425,10,NA,47970,366,13,0,0,1607,1,5,0
20200527 Alaska,Alaska,412,10,2020-05-27,Alaska,412,10,NA,46363,364,1,0,0,1399,1,13,0
20200526 Alaska,Alaska,411,10,2020-05-26,Alaska,411,10,NA,44964,362,2,0,0,492,1,1,0
20200525 Alaska,Alaska,409,10,2020-05-25,Alaska,409,10,NA,44472,361,1,0,0,965,1,2,0
20200524 Alaska,Alaska,408,10,2020-05-24,Alaska,408,10,NA,43507,358,0,0,0,1156,1,1,0
20200523 Alaska,Alaska,408,10,2020-05-23,Alaska,408,10,NA,42351,358,4,0,0,905,1,0,0
20200522 Alaska,Alaska,404,10,2020-05-22,Alaska,404,10,NA,41446,356,2,0,0,1901,1,4,0
20200521 Alaska,Alaska,402,10,2020-05-21,Alaska,402,10,NA,39545,356,0,0,0,2500,1,2,0
20200520 Alaska,Alaska,402,10,2020-05-20,Alaska,402,10,NA,37045,352,3,0,0,665,1,0,0
20200519 Alaska,Alaska,399,10,2020-05-19,Alaska,399,10,NA,36380,348,0,0,0,769,1,3,0
20200518 Alaska,Alaska,399,10,2020-05-18,Alaska,399,10,NA,35611,345,3,0,0,960,1,0,0
20200818 Arizona,Arizona,194920,4529,2020-08-18,Arizona,194920,4529,20878,1103997,28027,915,23,122,5609,,,
20200817 Arizona,Arizona,194005,4506,2020-08-17,Arizona,194005,4506,20756,1098388,27800,468,0,1,6414,1,915,23
20200816 Arizona,Arizona,193537,4506,2020-08-16,Arizona,193537,4506,20755,1091974,27582,883,14,-40,14783,1,468,0
20200815 Arizona,Arizona,192654,4492,2020-08-15,Arizona,192654,4492,20795,1077191,27339,933,69,280,9616,1,883,14
20200814 Arizona,Arizona,191721,4423,2020-08-14,Arizona,191721,4423,20515,1067575,27029,927,40,12,9397,1,933,69
20200813 Arizona,Arizona,190794,4383,2020-08-13,Arizona,190794,4383,20503,1058178,26736,1351,36,682,13950,1,927,40
20200812 Arizona,Arizona,189443,4347,2020-08-12,Arizona,189443,4347,19821,1044228,26418,706,148,529,6953,1,1351,36
20200811 Arizona,Arizona,188737,4199,2020-08-11,Arizona,188737,4199,19292,1037275,26102,1214,45,15,9044,1,706,148
20200810 Arizona,Arizona,187523,4154,2020-08-10,Arizona,187523,4154,19277,1028231,25848,600,4,9,5668,1,1214,45
20200809 Arizona,Arizona,186923,4150,2020-08-09,Arizona,186923,4150,19268,1022563,25527,816,13,24,6042,1,600,4
20200808 Arizona,Arizona,186107,4137,2020-08-08,Arizona,186107,4137,19244,1016521,25163,1054,56,3,11676,1,816,13
20200807 Arizona,Arizona,185053,4081,2020-08-07,Arizona,185053,4081,19241,1004845,24815,1406,79,5173,8981,1,1054,56
20200806 Arizona,Arizona,183647,4002,2020-08-06,Arizona,183647,4002,14068,995864,24531,1444,70,509,10322,1,1406,79
20200805 Arizona,Arizona,182203,3932,2020-08-05,Arizona,182203,3932,13559,985542,24222,1698,87,265,14298,1,1444,70
20200804 Arizona,Arizona,180505,3845,2020-08-04,Arizona,180505,3845,13294,971244,23944,1008,66,1894,6826,1,1698,87
20200803 Arizona,Arizona,179497,3779,2020-08-03,Arizona,179497,3779,11400,964418,23702,1030,14,29,7990,1,1008,66
20200802 Arizona,Arizona,178467,3765,2020-08-02,Arizona,178467,3765,11371,956428,23413,1465,18,25,7778,1,1030,14
20200801 Arizona,Arizona,177002,3747,2020-08-01,Arizona,177002,3747,11346,948650,23064,2992,53,86,14907,1,1465,18
20200731 Arizona,Arizona,174010,3694,2020-07-31,Arizona,174010,3694,11260,933743,22714,3212,68,88,20477,1,2992,53
20200730 Arizona,Arizona,170798,3626,2020-07-30,Arizona,170798,3626,11172,913266,22358,2525,172,1112,11837,1,3212,68
20200729 Arizona,Arizona,168273,3454,2020-07-29,Arizona,168273,3454,10060,901429,21994,2339,46,666,10498,1,2525,172
20200728 Arizona,Arizona,165934,3408,2020-07-28,Arizona,165934,3408,9394,890931,21626,2107,104,1643,12598,1,2339,46
20200727 Arizona,Arizona,163827,3304,2020-07-27,Arizona,163827,3304,7751,878333,21321,1813,-1,45,11230,1,2107,104
20200726 Arizona,Arizona,162014,3305,2020-07-26,Arizona,162014,3305,7706,867103,20978,1973,19,79,9494,1,1813,0
20200725 Arizona,Arizona,160041,3286,2020-07-25,Arizona,160041,3286,7627,857609,20566,3740,144,166,20792,1,1973,19
20200724 Arizona,Arizona,156301,3142,2020-07-24,Arizona,156301,3142,7461,836817,20171,3357,79,225,14104,1,3740,144
20200723 Arizona,Arizona,152944,3063,2020-07-23,Arizona,152944,3063,7236,822713,19737,2335,89,189,8732,1,3357,79
20200722 Arizona,Arizona,150609,2974,2020-07-22,Arizona,150609,2974,7047,813981,19293,1926,56,153,6315,1,2335,89
20200721 Arizona,Arizona,148683,2918,2020-07-21,Arizona,148683,2918,6894,807666,18863,3500,134,196,14143,1,1926,56
20200720 Arizona,Arizona,145183,2784,2020-07-20,Arizona,145183,2784,6698,793523,18518,1559,23,66,7544,1,3500,134
20200719 Arizona,Arizona,143624,2761,2020-07-19,Arizona,143624,2761,6632,785979,18149,2359,31,65,13988,1,1559,23
20200718 Arizona,Arizona,141265,2730,2020-07-18,Arizona,141265,2730,6567,771991,17661,2742,147,165,7023,1,2359,31
20200717 Arizona,Arizona,138523,2583,2020-07-17,Arizona,138523,2583,6402,764968,17184,3910,91,106,15702,1,2742,147
20200716 Arizona,Arizona,134613,2492,2020-07-16,Arizona,134613,2492,6296,749266,16684,3259,58,193,13304,1,3910,91
20200715 Arizona,Arizona,131354,2434,2020-07-15,Arizona,131354,2434,6103,735962,16155,3257,97,161,14019,1,3259,58
20200714 Arizona,Arizona,128097,2337,2020-07-14,Arizona,128097,2337,5942,721943,15678,4273,92,103,19517,1,3257,97
20200713 Arizona,Arizona,123824,2245,2020-07-13,Arizona,123824,2245,5839,702426,15254,1357,8,44,6254,1,4273,92
20200712 Arizona,Arizona,122467,2237,2020-07-12,Arizona,122467,2237,5795,696172,14829,2537,86,45,12182,1,1357,8
20200711 Arizona,Arizona,119930,2151,2020-07-11,Arizona,119930,2151,5750,683990,14394,3038,69,91,14779,1,2537,86
20200710 Arizona,Arizona,116892,2082,2020-07-10,Arizona,116892,2082,5659,669211,13853,4221,44,133,16150,1,3038,69
20200709 Arizona,Arizona,112671,2038,2020-07-09,Arizona,112671,2038,5526,653061,13341,4057,75,139,11991,1,4221,44
20200708 Arizona,Arizona,108614,1963,2020-07-08,Arizona,108614,1963,5387,641070,12803,3520,36,115,12273,1,4057,75
20200707 Arizona,Arizona,105094,1927,2020-07-07,Arizona,105094,1927,5272,628797,12260,3653,117,84,10956,1,3520,36
