"date","state","positive","negative","pending","hospitalized","death","total","fips","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease","NA"
"2020-05-14","AK","387","31375","0","0","10","31762","31762","02","0","0","1109","4","1113"
"2020-05-14","AL","10968","131017","0","1350","467","141985","141985","01","18","33","5262","351","5613"
"2020-05-14","AR","4236","71582","0","509","97","75818","75818","05","2","12","2531","72","2603"
"2020-05-14","AS","0","105","0","0","0","105","105","60","0","0","0","0","0"
"2020-05-14","AZ","12674","121664","0","1636","624","134338","134338","04","30","46","6090","498","6588"
"2020-05-14","CA","73164","1031487","0","0","3032","1104651","1104651","06","98","0","37036","2023","39059"
"2020-05-14","CO","20475","94044","0","3735","1062","114519","114519","08","53","40","2951","318","3269"
"2020-05-14","CT","35464","114098","0","10946","3219","149562","149562","09","94","1557","6010","609","6619"
"2020-05-14","DC","6736","26263","0","0","358","32999","32999","11","8","0","1189","152","1341"
"2020-05-14","DE","7223","29634","0","0","260","36857","36857","10","13","0","1833","271","2104"
"2020-05-14","FL","43210","565627","1228","7993","1948","610065","608837","12","50","158","13266","808","14074"
"2020-05-14","GA","35858","250023","0","6345","1527","285881","285881","13","22","86","11451","526","11977"
"2020-05-14","GU","153","4226","0","0","5","4379","4379","66","0","0","116","1","117"
"2020-05-14","HI","638","38243","0","81","17","38881","38881","15","0","0","513","3","516"
"2020-05-14","IA","13675","75619","0","0","318","89294","89294","19","12","0","3189","386","3575"
"2020-05-14","ID","2324","31430","0","212","69","33754","33754","16","0","-2","595","31","626"
"2020-05-14","IL","87937","424100","0","0","3928","512037","512037","17","136","0","19439","3239","22678"
"2020-05-14","IN","26053","134186","0","4389","1646","160239","160239","18","27","0","5576","580","6156"
"2020-05-14","KS","7468","50160","0","704","164","57628","57628","20","0","0","0","0","0"
"2020-05-14","KY","7080","110315","0","1835","326","117395","117395","21","5","10","6534","227","6761"
"2020-05-14","LA","33489","214099","0","0","2417","247588","247588","22","36","0","8857","827","9684"
"2020-05-14","MA","80497","329535","0","8032","5315","410032","410032","25","0","0","0","0","0"
"2020-05-14","MD","35903","142551","0","6553","1866","178454","178454","24","57","149","3789","1091","4880"
"2020-05-14","ME","1565","22092","0","207","69","23657","23657","23","3","3","0","50","50"
"2020-05-14","MI","49582","286301","0","0","4787","335883","335883","26","73","0","26432","1191","27623"
"2020-05-14","MN","13435","115317","0","1915","663","128752","128752","27","25","64","6199","518","6717"
"2020-05-14","MO","10317","116793","0","0","562","127110","127110","29","20","0","2793","175","2968"
"2020-05-14","MP","19","3306","0","0","2","3325","3325","69","0","0","285","0","285"
"2020-05-14","MS","10483","94843","0","1667","480","105326","105326","28","15","51","4885","393","5278"
"2020-05-14","MT","462","24087","0","63","16","24549","24549","30","0","0","697","0","697"
"2020-05-14","NC","16507","202761","0","0","615","219268","219268","37","18","0","8120","691","8811"
"2020-05-14","ND","1647","48599","0","129","40","50246","50246","38","0","2","1301","0","1301"
"2020-05-14","NE","9075","44266","0","0","107","53341","53341","31","4","0","3233","383","3616"
"2020-05-14","NH","3299","35876","735","326","150","39910","39175","33","8","7","1899","60","1959"
"2020-05-14","NJ","142704","308992","0","0","9946","451696","451696","34","244","0","9102","1144","10246"
"2020-05-14","NM","5364","109647","0","886","231","115011","115011","35","12","0","4570","152","4722"
"2020-05-14","NV","6499","62985","0","0","331","69484","69484","32","10","0","2707","105","2812"
"2020-05-14","NY","343051","955706","0","74433","22170","1298757","1298757","36","157","470","37460","2390","39850"
"2020-05-14","OH","26357","206995","0","4718","1534","233352","233352","39","51","100","6862","636","7498"
"2020-05-14","OK","4962","107221","0","858","284","112183","112183","40","6","10","2946","110","3056"
"2020-05-14","OR","3479","80571","0","685","137","84050","84050","41","3","7","0","63","63"
"2020-05-14","PA","59636","251559","0","0","4218","311195","311195","42","275","0","7388","938","8326"
"2020-05-14","PR","2427","0","0","0","117","2427","2427","72","2","0","0","98","98"
"2020-05-14","RI","12016","89585","0","1351","468","101601","101601","44","6","23","3498","181","3679"
"2020-05-14","SC","8189","94346","0","1338","371","102535","102535","45","16","0","9133","262","9395"
"2020-05-14","SD","3792","22681","0","290","43","26473","26473","46","4","9","569","60","629"
"2020-05-14","TN","16699","285618","0","1435","287","302317","302317","47","14","47","9071","329","9400"
"2020-05-14","TX","43851","579433","0","0","1216","623284","623284","48","58","0","34405","1448","35853"
"2020-05-14","UT","6749","153370","0","558","75","160119","160119","49","0","5","3204","129","3333"
"2020-05-14","VA","27813","139017","496","5211","955","167326","166830","51","28","131","4371","1067","5438"
"2020-05-14","VI","69","1164","45","0","6","1278","1233","78","0","0","36","0","36"
"2020-05-14","VT","932","21573","0","0","53","22505","22505","50","0","0","826","3","829"
"2020-05-14","WA","17512","243568","0","0","975","261080","261080","53","13","0","4577","182","4759"
"2020-05-14","WI","11275","122598","169","1939","434","134042","133873","55","13","31","5487","373","5860"
"2020-05-14","WV","1427","67286","0","0","60","68713","68713","54","2","0","2004","29","2033"
"2020-05-14","WY","701","14729","0","67","7","15430","15430","56","0","0","345","26","371"
"2020-05-13","AK","383","30266","0","0","10","30649","30649","02","0","0","688","0","688"
"2020-05-13","AL","10617","125755","0","1317","449","136372","136372","01","20","30","2847","307","3154"
"2020-05-13","AR","4164","69051","0","497","95","73215","73215","05","0","12","2771","0","2771"
"2020-05-13","AS","0","105","0","0","0","105","105","60","0","0","0","0","0"
"2020-05-13","AZ","12176","115574","0","1590","594","127750","127750","04","32","26","4468","440","4908"
"2020-05-13","CA","71141","994451","0","0","2934","1065592","1065592","06","87","0","30463","1759","32222"
"2020-05-13","CO","20157","91093","0","3695","1009","111250","111250","08","22","32","2315","278","2593"
"2020-05-13","CT","34855","108088","0","9389","3125","142943","142943","09","84","0","3997","522","4519"
"2020-05-13","DC","6584","25074","0","0","350","31658","31658","11","14","0","509","99","608"
"2020-05-13","DE","6952","27801","0","0","247","34753","34753","10","10","0","1251","211","1462"
"2020-05-13","FL","42402","552361","1191","7835","1898","595954","594763","12","49","181","14680","479","15159"
"2020-05-13","GA","35332","238572","0","6259","1505","273904","273904","13","44","129","11028","697","11725"
"2020-05-13","GU","152","4110","0","0","5","4262","4262","66","0","0","171","0","171"
"2020-05-13","HI","635","37730","0","81","17","38365","38365","15","0","0","425","1","426"
"2020-05-13","IA","13289","72430","0","0","306","85719","85719","19","17","0","4054","377","4431"
"2020-05-13","ID","2293","30835","0","214","69","33128","33128","16","-1","4","390","33","423"
"2020-05-13","IL","84698","404661","0","0","3792","489359","489359","17","191","0","15991","1677","17668"
"2020-05-13","IN","25473","128610","0","4389","1619","154083","154083","18","41","0","3227","346","3573"
"2020-05-13","KS","7468","50160","0","704","164","57628","57628","20","6","44","3167","352","3519"
"2020-05-13","KY","6853","103781","0","1825","321","110634","110634","21","10","58","6434","176","6610"
"2020-05-13","LA","32662","205242","0","0","2381","237904","237904","22","34","0","9280","612","9892"
"2020-05-13","MA","80497","329535","0","8032","5315","410032","410032","25","174","190","7371","1165","8536"
"2020-05-13","MD","34812","138762","0","6404","1809","173574","173574","24","53","117","3320","751","4071"
"2020-05-13","ME","1515","22092","0","204","66","23607","23607","23","1","2","0","38","38"
"2020-05-13","MI","48391","259869","0","0","4714","308260","308260","26","40","0","0","370","370"
"2020-05-13","MN","12917","109118","0","1851","638","122035","122035","27","24","52","778","423","1201"
"2020-05-13","MO","10142","114000","0","0","542","124142","124142","29","18","0","2710","136","2846"
"2020-05-13","MP","19","3021","0","0","2","3040","3040","69","0","0","167","0","167"
"2020-05-13","MS","10090","89958","0","1616","465","100048","100048","28","8","34","2174","182","2356"
"2020-05-13","MT","462","23390","0","63","16","23852","23852","30","0","0","816","1","817"
"2020-05-13","NC","15816","194641","0","0","597","210457","210457","37","20","0","7743","470","8213"
"2020-05-13","ND","1647","47298","0","127","40","48945","48945","38","2","5","1037","76","1113"
"2020-05-13","NE","8692","41033","0","0","103","49725","49725","31","3","0","1662","120","1782"
"2020-05-13","NH","3239","33977","51","319","142","37267","37216","33","9","1","1576","79","1655"
"2020-05-13","NJ","141560","299890","0","0","9702","441450","441450","34","194","0","7573","817","8390"
"2020-05-13","NM","5212","105077","0","886","219","110289","110289","35","11","0","3425","143","3568"
"2020-05-13","NV","6394","60278","0","0","321","66672","66672","32","9","0","2514","83","2597"
"2020-05-13","NY","340661","918246","0","73963","22013","1258907","1258907","36","168","820","31618","2176","33794"
"2020-05-13","OH","25721","200133","0","4618","1483","225854","225854","39","47","79","7652","471","8123"
"2020-05-13","OK","4852","104275","0","848","278","109127","109127","40","0","20","12896","120","13016"
"2020-05-13","OR","3416","80571","0","678","134","83987","83987","41","4","5","6251","130","6381"
"2020-05-13","PA","58698","244171","0","0","3943","302869","302869","42","137","0","6182","707","6889"
"2020-05-13","PR","2329","0","0","0","115","2329","2329","72","1","0","0","30","30"
"2020-05-13","RI","11835","86087","0","1328","462","97922","97922","44","18","21","2462","221","2683"
"2020-05-13","SC","7927","85213","0","1338","355","93140","93140","45","0","0","0","0","0"
"2020-05-13","SD","3732","22112","0","281","39","25844","25844","46","0","10","578","69","647"
"2020-05-13","TN","16370","276547","0","1388","273","292917","292917","47","8","25","8834","259","9093"
"2020-05-13","TX","42403","545028","0","0","1158","587431","587431","48","25","0","47904","1355","49259"
"2020-05-13","UT","6620","150166","0","553","75","156786","156786","49","2","18","3113","188","3301"
"2020-05-13","VA","26746","134646","485","5080","927","161877","161392","51","36","151","5117","946","6063"
"2020-05-13","VI","69","1128","62","0","6","1259","1197","78","0","0","13","0","13"
"2020-05-13","VT","929","20747","0","0","53","21676","21676","50","0","0","412","2","414"
"2020-05-13","WA","17330","238991","0","0","962","256321","256321","53","17","0","4005","208","4213"
"2020-05-13","WI","10902","117111","194","1908","421","128207","128013","55","3","31","4363","291","4654"
"2020-05-13","WV","1398","65282","0","0","58","66680","66680","54","1","0","1584","27","1611"
"2020-05-13","WY","675","14384","0","67","7","15059","15059","56","0","0","0","0","0"
"2020-05-12","AK","383","29578","0","0","10","29961","29961","02","0","0","1279","2","1281"
"2020-05-12","AL","10310","122908","0","1287","429","133218","133218","01","28","31","3473","301","3774"
"2020-05-12","AR","4164","66280","0","485","95","70444","70444","05","1","5","1284","130","1414"
"2020-05-12","AS","0","105","0","0","0","105","105","60","0","0","0","0","0"
"2020-05-12","AZ","11736","111106","0","1564","562","122842","122842","04","20","27","6022","356","6378"
"2020-05-12","CA","69382","963988","0","0","2847","1033370","1033370","06","77","0","40030","1443","41473"
"2020-05-12","CO","19879","88778","0","3663","987","108657","108657","08","6","-26","-113","-20","-133"
"2020-05-12","CT","34333","104091","0","9389","3041","138424","138424","09","33","0","5348","568","5916"
"2020-05-12","DC","6485","24565","0","0","336","31050","31050","11","8","0","693","96","789"
"2020-05-12","DE","6741","26550","0","0","237","33291","33291","10","12","0","1187","176","1363"
"2020-05-12","FL","41923","537681","1064","7654","1849","580668","579604","12","44","196","17606","941","18547"
"2020-05-12","GA","34635","227544","0","6130","1461","262179","262179","13","20","115","10183","708","10891"
"2020-05-12","GU","152","3939","0","0","5","4091","4091","66","0","0","101","1","102"
"2020-05-12","HI","634","37305","0","81","17","37939","37939","15","0","0","254","2","256"
"2020-05-12","IA","12912","68376","0","0","289","81288","81288","19","18","0","2957","539","3496"
"2020-05-12","ID","2260","30445","0","210","70","32705","32705","16","3","3","533","30","563"
"2020-05-12","IL","83021","388670","0","0","3601","471691","471691","17","142","0","25252","4014","29266"
"2020-05-12","IN","25127","125383","0","4389","1578","150510","150510","18","38","0","3322","500","3822"
"2020-05-12","KS","7116","46993","0","660","158","54109","54109","20","0","0","0","0","0"
"2020-05-12","KY","6677","97347","0","1767","311","104024","104024","21","7","10","16864","237","17101"
"2020-05-12","LA","32050","195962","0","0","2347","228012","228012","22","39","0","6947","235","7182"
"2020-05-12","MA","79332","322164","0","7842","5141","401496","401496","25","33","110","5898","870","6768"
"2020-05-12","MD","34061","135442","0","6287","1756","169503","169503","24","73","104","4035","688","4723"
"2020-05-12","ME","1477","22092","0","202","65","23569","23569","23","0","2","0","15","15"
"2020-05-12","MI","48021","259869","0","0","4674","307890","307890","26","90","0","8473","469","8942"
"2020-05-12","MN","12494","108340","0","1799","614","120834","120834","27","23","83","4358","695","5053"
"2020-05-12","MO","10006","111290","0","0","524","121296","121296","29","36","0","5588","88","5676"
"2020-05-12","MP","19","2854","0","0","2","2873","2873","69","0","0","178","0","178"
"2020-05-12","MS","9908","87784","0","1582","457","97692","97692","28","22","36","1573","234","1807"
"2020-05-12","MT","461","22574","0","63","16","23035","23035","30","0","1","461","2","463"
"2020-05-12","NC","15346","186898","0","0","577","202244","202244","37","27","0","6078","301","6379"
"2020-05-12","ND","1571","46261","0","122","38","47832","47832","38","2","7","765","53","818"
"2020-05-12","NE","8572","39371","0","0","100","47943","47943","31","2","0","1447","257","1704"
"2020-05-12","NH","3160","32401","54","318","133","35615","35561","33","0","0","678","0","678"
"2020-05-12","NJ","140743","292317","0","0","9508","433060","433060","34","198","0","6329","798","7127"
"2020-05-12","NM","5069","101652","0","886","208","106721","106721","35","8","97","4017","206","4223"
"2020-05-12","NV","6311","57764","0","0","312","64075","64075","32","6","0","3832","159","3991"
"2020-05-12","NY","338485","886628","0","73143","21845","1225113","1225113","36","205","0","19032","1430","20462"
"2020-05-12","OH","25250","192481","0","4539","1436","217731","217731","39","79","126","6728","473","7201"
"2020-05-12","OK","4732","91379","0","828","278","96111","96111","40","4","0","0","119","119"
"2020-05-12","OR","3286","74320","0","673","130","77606","77606","41","0","0","0","0","0"
"2020-05-12","PA","57991","237989","0","0","3806","295980","295980","42","75","0","6285","837","7122"
"2020-05-12","PR","2299","0","0","0","114","2299","2299","72","1","0","0","43","43"
"2020-05-12","RI","11614","83625","0","1307","444","95239","95239","44","14","27","1743","164","1907"
"2020-05-12","SC","7927","85213","0","1338","355","93140","93140","45","24","86","8409","274","8683"
"2020-05-12","SD","3663","21534","0","271","39","25197","25197","46","5","8","570","49","619"
"2020-05-12","TN","16111","267713","0","1363","265","283824","283824","47","14","19","9980","567","10547"
"2020-05-12","TX","41048","497124","0","0","1133","538172","538172","48","33","0","11296","1179","12475"
"2020-05-12","UT","6432","147053","0","535","73","153485","153485","49","5","18","2830","70","2900"
"2020-05-12","VA","25800","129529","447","4929","891","155776","155329","51","41","152","3982","730","4712"
"2020-05-12","VI","69","1115","58","0","6","1242","1184","78","1","0","5","0","5"
"2020-05-12","VT","927","20335","0","0","53","21262","21262","50","0","0","390","1","391"
"2020-05-12","WA","17122","234986","0","0","945","252108","252108","53","14","0","3002","231","3233"
"2020-05-12","WI","10611","112748","180","1877","418","123539","123359","55","9","31","4715","193","4908"
"2020-05-12","WV","1371","63698","0","0","57","65069","65069","54","3","0","1595","5","1600"
"2020-05-12","WY","675","14384","0","67","7","15059","15059","56","0","1","2981","13","2994"
"2020-05-11","AK","381","28299","0","0","10","28680","28680","02","0","0","1314","2","1316"
"2020-05-11","AL","10009","119435","0","1256","401","129444","129444","01","8","16","1791","232","2023"
"2020-05-11","AR","4034","64996","0","480","94","69030","69030","05","6","9","3215","287","3502"
"2020-05-11","AS","0","105","0","0","0","105","105","60","0","0","22","0","22"
"2020-05-11","AZ","11380","105084","0","1537","542","116464","116464","04","6","9","5826","261","6087"
"2020-05-11","CA","67939","923958","0","0","2770","991897","991897","06","25","0","34974","1259","36233"
"2020-05-11","CO","19899","88891","0","3689","981","108790","108790","08","14","66","7656","524","8180"
"2020-05-11","CT","33765","98743","0","9389","3008","132508","132508","09","41","0","2105","211","2316"
"2020-05-11","DC","6389","23872","0","0","328","30261","30261","11","5","0","574","117","691"
"2020-05-11","DE","6565","25363","0","0","225","31928","31928","10","1","0","771","118","889"
"2020-05-11","FL","40982","520075","1080","7458","1805","562137","561057","12","14","54","21723","386","22109"
"2020-05-11","GA","33927","217361","0","6015","1441","251288","251288","13","36","18","7255","486","7741"
"2020-05-11","GU","151","3838","0","0","5","3989","3989","66","0","0","195","0","195"
"2020-05-11","HI","632","37051","0","81","17","37683","37683","15","0","0","412","1","413"
"2020-05-11","IA","12373","65419","0","0","271","77792","77792","19","6","0","3204","414","3618"
"2020-05-11","ID","2230","29912","0","207","67","32142","32142","16","0","0","0","0","0"
"2020-05-11","IL","79007","363418","0","0","3459","442425","442425","17","53","0","11175","1266","12441"
"2020-05-11","IN","24627","122061","0","4389","1540","146688","146688","18","32","0","6158","501","6659"
"2020-05-11","KS","7116","46993","0","660","158","54109","54109","20","1","3","1436","168","1604"
"2020-05-11","KY","6440","80483","0","1757","304","86923","86923","21","0","0","0","0","0"
"2020-05-11","LA","31815","189015","0","0","2308","220830","220830","22","22","0","4743","215","4958"
"2020-05-11","MA","78462","316266","0","7732","5108","394728","394728","25","129","115","5670","669","6339"
"2020-05-11","MD","33373","131407","0","6183","1683","164780","164780","24","39","228","4063","786","4849"
"2020-05-11","ME","1462","22092","0","200","65","23554","23554","23","1","1","0","26","26"
"2020-05-11","MI","47552","251396","0","0","4584","298948","298948","26","33","0","12856","414","13270"
"2020-05-11","MN","11799","103982","0","1716","591","115781","115781","27","13","59","4165","528","4693"
"2020-05-11","MO","9918","105702","0","0","488","115620","115620","29","6","0","0","74","74"
"2020-05-11","MP","19","2676","0","0","2","2695","2695","69","0","0","355","3","358"
"2020-05-11","MS","9674","86211","0","1546","435","95885","95885","28","5","15","14110","173","14283"
"2020-05-11","MT","459","22113","0","62","16","22572","22572","30","0","0","867","1","868"
"2020-05-11","NC","15045","180820","0","0","550","195865","195865","37","3","0","3449","281","3730"
"2020-05-11","ND","1518","45496","0","115","36","47014","47014","38","1","5","2118","27","2145"
"2020-05-11","NE","8315","37924","0","0","98","46239","46239","31","2","0","589","81","670"
"2020-05-11","NH","3160","31723","261","318","133","35144","34883","33","2","5","1281","149","1430"
"2020-05-11","NJ","139945","285988","0","0","9310","425933","425933","34","55","0","112073","1413","113486"
"2020-05-11","NM","4863","97635","0","789","200","102498","102498","35","9","0","5360","85","5445"
"2020-05-11","NV","6152","53932","0","0","306","60084","60084","32","0","0","1221","54","1275"
"2020-05-11","NY","337055","867596","0","73143","21640","1204651","1204651","36","162","428","19993","1660","21653"
"2020-05-11","OH","24777","185753","0","4413","1357","210530","210530","39","16","62","4972","696","5668"
"2020-05-11","OK","4613","91379","0","828","274","95992","95992","40","2","2","0","24","24"
"2020-05-11","OR","3286","74320","0","673","130","77606","77606","41","3","3","2041","58","2099"
"2020-05-11","PA","57154","231704","0","0","3731","288858","288858","42","24","0","3932","543","4475"
"2020-05-11","PR","2256","0","0","0","113","2256","2256","72","2","0","0","58","58"
"2020-05-11","RI","11450","81882","0","1280","430","93332","93332","44","8","29","1943","176","2119"
"2020-05-11","SC","7653","76804","0","1252","331","84457","84457","45","0","0","0","0","0"
"2020-05-11","SD","3614","20964","0","263","34","24578","24578","46","0","2","587","97","684"
"2020-05-11","TN","15544","257733","0","1344","251","273277","273277","47","8","19","10849","559","11408"
"2020-05-11","TX","39869","485828","0","0","1100","525697","525697","48","12","0","22921","1000","23921"
"2020-05-11","UT","6362","144223","0","517","68","150585","150585","49","1","5","3964","111","4075"
"2020-05-11","VA","25070","125547","432","4777","850","151049","150617","51","11","21","6573","989","7562"
"2020-05-11","VI","69","1110","36","0","5","1215","1179","78","1","0","8","0","8"
"2020-05-11","VT","926","19945","0","0","53","20871","20871","50","0","0","824","-1","823"
"2020-05-11","WA","16891","231984","0","0","931","248875","248875","53","10","0","5669","217","5886"
"2020-05-11","WI","10418","108033","180","1846","409","118631","118451","55","9","26","2870","199","3069"
"2020-05-11","WV","1366","62103","0","0","54","63469","63469","54","0","0","819","6","825"
"2020-05-11","WY","662","11403","0","66","7","12065","12065","56","0","1","0","1","1"
"2020-05-10","AK","379","26985","0","0","10","27364","27364","02","0","0","914","1","915"
"2020-05-10","AL","9777","117644","0","1240","393","127421","127421","01","5","12","1717","210","1927"
"2020-05-10","AR","3747","61781","0","471","88","65528","65528","05","0","0","0","0","0"
"2020-05-10","AS","0","83","0","0","0","83","83","60","0","0","0","0","0"
"2020-05-10","AZ","11119","99258","0","1528","536","110377","110377","04","4","14","4408","159","4567"
"2020-05-10","CA","66680","888984","0","0","2745","955664","955664","06","67","0","40975","2119","43094"
"2020-05-10","CO","19375","81235","0","3623","967","100610","100610","08","7","23","3290","548","3838"
"2020-05-10","CT","33554","96638","0","9389","2967","130192","130192","09","35","0","6053","570","6623"
"2020-05-10","DC","6272","23298","0","0","323","29570","29570","11","12","0","1217","170","1387"
"2020-05-10","DE","6447","24592","0","0","224","31039","31039","10","3","0","1573","170","1743"
"2020-05-10","FL","40596","498352","1265","7404","1791","540213","538948","12","6","79","10622","595","11217"
"2020-05-10","GA","33441","210106","0","5997","1405","243547","243547","13","5","10","7314","909","8223"
"2020-05-10","GU","151","3643","0","0","5","3794","3794","66","0","0","0","0","0"
"2020-05-10","HI","631","36639","0","81","17","37270","37270","15","0","0","1006","2","1008"
"2020-05-10","IA","11959","62215","0","0","265","74174","74174","19","13","0","2410","288","2698"
"2020-05-10","ID","2230","29912","0","207","67","32142","32142","16","0","1","311","25","336"
"2020-05-10","IL","77741","352243","0","0","3406","429984","429984","17","57","0","11997","1656","13653"
"2020-05-10","IN","24126","115903","0","4389","1508","140029","140029","18","18","0","3949","394","4343"
"2020-05-10","KS","6948","45557","0","657","157","52505","52505","20","0","22","2375","197","2572"
"2020-05-10","KY","6440","80483","0","1757","304","86923","86923","21","6","61","324","152","476"
"2020-05-10","LA","31600","184272","0","0","2286","215872","215872","22","19","0","3532","183","3715"
"2020-05-10","MA","77793","310596","0","7617","4979","388389","388389","25","139","66","10802","1050","11852"
"2020-05-10","MD","32587","127344","0","5955","1644","159931","159931","24","30","23","2850","1053","3903"
"2020-05-10","ME","1436","22092","0","199","64","23528","23528","23","0","1","0","28","28"
"2020-05-10","MI","47138","238540","0","0","4551","285678","285678","26","25","0","11810","382","12192"
"2020-05-10","MN","11271","99817","0","1657","578","111088","111088","27","20","45","4344","481","4825"
"2020-05-10","MO","9844","105702","0","0","482","115546","115546","29","10","0","6470","178","6648"
"2020-05-10","MP","16","2321","0","0","2","2337","2337","69","0","0","0","0","0"
"2020-05-10","MS","9501","72101","0","1531","430","81602","81602","28","9","19","0","123","123"
"2020-05-10","MT","458","21246","0","62","16","21704","21704","30","0","0","375","0","375"
"2020-05-10","NC","14764","177371","0","0","547","192135","192135","37","3","0","5369","404","5773"
"2020-05-10","ND","1491","43378","0","110","35","44869","44869","38","0","0","909","27","936"
"2020-05-10","NE","8234","37335","0","0","96","45569","45569","31","4","0","2190","403","2593"
"2020-05-10","NH","3011","30442","512","313","131","33965","33453","33","10","4","1091","64","1155"
"2020-05-10","NJ","138532","173915","591","0","9255","313038","312447","34","139","0","5794","1447","7241"
"2020-05-10","NM","4778","92275","0","789","191","97053","97053","35","10","0","3686","105","3791"
"2020-05-10","NV","6098","52711","0","0","306","58809","58809","32","5","0","2628","70","2698"
"2020-05-10","NY","335395","847603","0","72715","21478","1182998","1182998","36","207","460","26957","2273","29230"
"2020-05-10","OH","24081","180781","0","4351","1341","204862","204862","39","10","51","7808","384","8192"
"2020-05-10","OK","4589","91379","0","826","272","95968","95968","40","2","4","0","99","99"
"2020-05-10","OR","3228","72279","0","670","127","75507","75507","41","0","8","819","68","887"
"2020-05-10","PA","56611","227772","0","0","3707","284383","284383","42","19","0","5981","1295","7276"
"2020-05-10","PR","2198","0","0","0","111","2198","2198","72","3","0","0","25","25"
"2020-05-10","RI","11274","79939","0","1251","422","91213","91213","44","4","33","3113","285","3398"
"2020-05-10","SC","7653","76804","0","1252","331","84457","84457","45","1","0","3372","122","3494"
"2020-05-10","SD","3517","20377","0","261","34","23894","23894","46","0","8","818","124","942"
"2020-05-10","TN","14985","246884","0","1325","243","261869","261869","47","1","6","8904","217","9121"
"2020-05-10","TX","38869","462907","0","0","1088","501776","501776","48","39","0","11473","1009","12482"
"2020-05-10","UT","6251","140259","0","512","67","146510","146510","49","1","14","3068","148","3216"
"2020-05-10","VA","24081","118974","506","4756","839","143561","143055","51","12","39","5021","885","5906"
"2020-05-10","VI","69","1102","39","0","4","1210","1171","78","0","0","78","1","79"
"2020-05-10","VT","927","19121","0","0","53","20048","20048","50","0","0","515","6","521"
"2020-05-10","WA","16674","226315","0","0","921","242989","242989","53","16","0","6868","286","7154"
"2020-05-10","WI","10219","105163","182","1820","400","115564","115382","55","2","14","3228","280","3508"
"2020-05-10","WV","1360","61284","0","0","54","62644","62644","54","1","0","1622","25","1647"
"2020-05-10","WY","661","11403","0","65","7","12064","12064","56","0","1","0","17","17"
"2020-05-09","AK","378","26071","0","0","10","26449","26449","02","0","0","975","1","976"
"2020-05-09","AL","9567","115927","0","1228","388","125494","125494","01","13","21","5034","346","5380"
"2020-05-09","AR","3747","61781","0","471","88","65528","65528","05","0","5","1481","53","1534"
"2020-05-09","AS","0","83","0","0","0","83","83","60","0","0","0","0","0"
"2020-05-09","AZ","10960","94850","0","1514","532","105810","105810","04","15","32","4251","434","4685"
"2020-05-09","CA","64561","848009","0","0","2678","912570","912570","06","93","0","35249","2049","37298"
"2020-05-09","CO","18827","77945","0","3600","960","96772","96772","08","-1","43","2210","26","2236"
"2020-05-09","CT","32984","90585","0","9389","2932","123569","123569","09","58","0","2455","573","3028"
"2020-05-09","DC","6102","22081","0","0","311","28183","28183","11","7","0","865","203","1068"
"2020-05-09","DE","6277","23019","0","0","221","29296","29296","10","8","0","866","166","1032"
"2020-05-09","FL","40001","487730","1452","7325","1785","529183","527731","12","47","168","13588","802","14390"
"2020-05-09","GA","32532","202792","0","5987","1400","235324","235324","13","23","52","7331","426","7757"
"2020-05-09","GU","151","3643","0","0","5","3794","3794","66","0","0","17","0","17"
"2020-05-09","HI","629","35633","0","81","17","36262","36262","15","0","7","-356","0","-356"
"2020-05-09","IA","11671","59805","0","0","252","71476","71476","19","9","0","1001","214","1215"
"2020-05-09","ID","2205","29601","0","206","67","31806","31806","16","0","0","509","27","536"
"2020-05-09","IL","76085","340246","0","0","3349","416331","416331","17","108","0","14292","2325","16617"
"2020-05-09","IN","23732","111954","0","4389","1490","135686","135686","18","43","0","4972","586","5558"
"2020-05-09","KS","6751","43182","0","635","157","49933","49933","20","5","27","1975","250","2225"
"2020-05-09","KY","6288","80159","0","1696","298","86447","86447","21","4","12","4887","159","5046"
"2020-05-09","LA","31417","180740","0","0","2267","212157","212157","22","40","0","9179","562","9741"
"2020-05-09","MA","76743","299794","0","7551","4840","376537","376537","25","138","117","9104","1410","10514"
"2020-05-09","MD","31534","124494","0","5932","1614","156028","156028","24","54","121","2792","1049","3841"
"2020-05-09","ME","1408","22092","0","198","64","23500","23500","23","1","4","0","34","34"
"2020-05-09","MI","46756","226730","0","0","4526","273486","273486","26","133","0","12803","430","13233"
"2020-05-09","MN","10790","95473","0","1612","558","106263","106263","27","24","63","4291","702","4993"
"2020-05-09","MO","9666","99232","0","0","472","108898","108898","29","23","0","0","177","177"
"2020-05-09","MP","16","2321","0","0","2","2337","2337","69","0","0","0","1","1"
"2020-05-09","MS","9378","72101","0","1512","421","81479","81479","28","12","34","0","288","288"
"2020-05-09","MT","458","20871","0","62","16","21329","21329","30","0","0","384","0","384"
"2020-05-09","NC","14360","172002","0","0","544","186362","186362","37","17","0","7257","492","7749"
"2020-05-09","ND","1464","42469","0","110","35","43933","43933","38","2","6","1393","39","1432"
"2020-05-09","NE","7831","35145","0","0","92","42976","42976","31","2","0","1923","641","2564"
"2020-05-09","NH","2947","29351","304","309","121","32602","32298","33","7","1","1522","104","1626"
"2020-05-09","NJ","137085","168121","557","0","9116","305763","305206","34","164","0","4816","1631","6447"
"2020-05-09","NM","4673","88589","0","789","181","93262","93262","35","9","29","4050","180","4230"
